network_city,network_name,station_name,station_id,station_latitude,station_longitude,empty_slots,free_bikes,total_bikes
London,santander-cycles,"001139 - Carey Street, Holborn",bfcb9cc430d19fd33ccef1a31eb34a39,51.51501025,-0.112753217,15,1,16
London,santander-cycles,"001153 - Pall Mall East, West End",b41baf49a00ce422208c33520ac42a70,51.50777049,-0.130699733,1,21,22
London,santander-cycles,"001154 - Kennington Road  , Vauxhall",36357d1b79aad476e8f97e70dde9f83c,51.49571828,-0.110889274,25,11,36
London,santander-cycles,"003483 - Fashion Street, Whitechapel",6754a242a6750e1897f6ad108a29881f,51.51838043,-0.073438925,8,22,30
London,santander-cycles,"003467 - Dock Street, Wapping",b85e28c21e5f79e0eeedb25b01bd7023,51.5097860151,-0.0681619805156,16,14,30
London,santander-cycles,"001090 - Warren Street Station, Euston",4d46d714086250894e7fc4d2ededd7b5,51.52443845,-0.138019439,19,7,26
London,santander-cycles,"003482 - Beaumont Street, Marylebone",56786fa54c6f0d4be50f39668da7119d,51.52200801,-0.151359288,14,9,23
London,santander-cycles,"001145 - Earnshaw Street , Covent Garden",cdfe1eefce180c10fee9fd7dabeef715,51.51611887,-0.128585022,8,10,18
London,santander-cycles,"001140 - Grosvenor Road, Pimlico",2293635ff034ae614ff2679f273e6972,51.4853572,-0.142207481,16,13,29
London,santander-cycles,"001159 - Berry Street, Clerkenwell",c68f812c22596a520fa7cd2fee575e8d,51.52285301,-0.099994052,34,7,41
London,santander-cycles,"001161 - Brushfield Street, Liverpool Street",e4b16b74ee97108fd8e5fd9cebbcd480,51.518908,-0.079249,29,5,34
London,santander-cycles,"001051 - Shoreditch Park, Hoxton",b5492904b8e688d168315f1f272e6bd0,51.53404294,-0.086379717,13,17,30
London,santander-cycles,"003471 - Chadwell Street, Angel",bba639efc6aa2bfb2fa3c9762ce92600,51.53051587,-0.106408455,16,2,18
London,santander-cycles,"003484 - Houghton Street, Strand",e14fe63baf41df4b9f0b96bee6895267,51.51362054,-0.116764211,13,2,15
London,santander-cycles,"003489 - Broadwick Street, Soho",314bdb3ef5ec9df9f21c179d59808dff,51.5136846,-0.135580879,2,16,18
