network_city,network_name,station_name,bike_station_id,station_latitude,station_longitude,empty_slots,free_bikes,total_bikes,poi_id,poi_name,poi_distance_from_bike_stn,poi_latitude,poi_longitude,poi_bsns_category,review_count,rating
London,santander-cycles,"001018 - Phillimore Gardens, Kensington",67e6c16bce05410ba4b1f0f5000726ea,51.49960695,-0.197574246,4,33,37,hGiblm0l67sLGTtsMvx51A,The Churchill Arms,833,51.5068261,-0.194781,Dining and Drinking,381.0,4.0
London,santander-cycles,"001018 - Phillimore Gardens, Kensington",67e6c16bce05410ba4b1f0f5000726ea,51.49960695,-0.197574246,4,33,37,dXEPhJmyV9BiA77wdAfEmg,The Blackbird,947,51.49178,-0.19211,Dining and Drinking,172.0,4.0
London,santander-cycles,"001018 - Phillimore Gardens, Kensington",67e6c16bce05410ba4b1f0f5000726ea,51.49960695,-0.197574246,4,33,37,ZfM-yM1OWk41l8RJNRMnvw,Da Mario Restaurant,974,51.4987228161749,-0.183567237647306,Dining and Drinking,171.0,4.5
London,santander-cycles,"001018 - Phillimore Gardens, Kensington",67e6c16bce05410ba4b1f0f5000726ea,51.49960695,-0.197574246,4,33,37,PBFvhVyBi0lEJyTbyuxf5w,The Orangery,1037,51.5066360577041,-0.187725349125042,Dining and Drinking,241.0,4.0
London,santander-cycles,"001012 - Christopher Street, Liverpool Street",2d1fd6bf5426f3dc34fae06f43f76f69,51.52128377,-0.084605692,24,8,32,4bf831094a67c9285df824cf,Quartier Dining Room - Eight Moorgate,63,51.521503,-0.083882,Dining and Drinking,,
London,santander-cycles,"001012 - Christopher Street, Liverpool Street",2d1fd6bf5426f3dc34fae06f43f76f69,51.52128377,-0.084605692,24,8,32,53ac0026498ee596ef17218b,The Backstreet Diner,90,51.52179,-0.083524,Dining and Drinking,,
London,santander-cycles,"001012 - Christopher Street, Liverpool Street",2d1fd6bf5426f3dc34fae06f43f76f69,51.52128377,-0.084605692,24,8,32,53bbdefe498e97b80789e930,Banh-Mi & Son,99,51.52164,-0.083249,Dining and Drinking,,
London,santander-cycles,"001012 - Christopher Street, Liverpool Street",2d1fd6bf5426f3dc34fae06f43f76f69,51.52128377,-0.084605692,24,8,32,5698f64c498e6a3be418ab85,The Sichuan,193,51.522216,-0.087202,Dining and Drinking,,
London,santander-cycles,"001012 - Christopher Street, Liverpool Street",2d1fd6bf5426f3dc34fae06f43f76f69,51.52128377,-0.084605692,24,8,32,4b7a9ebef964a520e6332fe3,Marks & Spencer,259,51.519461,-0.08714,Retail,,
London,santander-cycles,"001012 - Christopher Street, Liverpool Street",2d1fd6bf5426f3dc34fae06f43f76f69,51.52128377,-0.084605692,24,8,32,5dd505701d1198000826112d,Alchemy Coffee,273,51.523711,-0.084095,Dining and Drinking,,
