yelp_id,yelp_poi_name,review_count,categories,rating,poi_distance,poi_latitude,poi_longitude,bike_station_id
E_3NekwxctQ3BzN7tLKk2A,Casa Tua,51,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.5,417,51.5276449011142,-0.123588235886524,1eabd7ac8e781befd03f52ef56a18aa7
gDP6gDHQGKFry_IkHOGflA,Hare & Tortoise,111,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'japanese', 'title': 'Japanese'}]",3.5,29,51.5238573117279,-0.122894760945433,1eabd7ac8e781befd03f52ef56a18aa7
wh4R2zTxcjZw4JcQFNBtog,Aux Pains de Papy,33,"[{'alias': 'bakeries', 'title': 'Bakeries'}]",5.0,473,51.5273865,-0.1184675,1eabd7ac8e781befd03f52ef56a18aa7
1TgYqfxkXv6-IB4cvuuy3w,Tea and Tattle,89,"[{'alias': 'british', 'title': 'British'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",4.5,742,51.5178680419922,-0.126817002892494,1eabd7ac8e781befd03f52ef56a18aa7
aTjIuf-lCWF6vGYDlQTPSg,Honest Burgers Kings Cross,112,"[{'alias': 'burgers', 'title': 'Burgers'}]",4.5,805,51.5308718,-0.119039104215517,1eabd7ac8e781befd03f52ef56a18aa7
kDw0RC24G3714nPXq34q2Q,Wellcome Collection,94,"[{'alias': 'museums', 'title': 'Museums'}]",4.5,831,51.5260571,-0.1340295,1eabd7ac8e781befd03f52ef56a18aa7
LyXXTUzll212_JKMkzC3DQ,49 Cafe,43,"[{'alias': 'modern_european', 'title': 'Modern European'}, {'alias': 'british', 'title': 'British'}, {'alias': 'cafes', 'title': 'Cafes'}]",4.5,215,51.5249587,-0.1251605,1eabd7ac8e781befd03f52ef56a18aa7
8gqkjHd2E7PHYWNfw0DVvg,Burger and Shake,59,"[{'alias': 'burgers', 'title': 'Burgers'}]",4.0,215,51.525005,-0.125415,1eabd7ac8e781befd03f52ef56a18aa7
Bc4GZfIUJu9363QQVACZVA,Caravan,151,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,872,51.5254718215956,-0.110122750616417,1eabd7ac8e781befd03f52ef56a18aa7
tHKiDGayBq4RD0oL-DutCg,Bloomsbury Coffee House,61,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'cafes', 'title': 'Cafes'}]",4.0,305,51.525250540481,-0.126389201213277,1eabd7ac8e781befd03f52ef56a18aa7
Tp5yDvTTI0nBlfbeR9sAxw,Espresso Room,45,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",4.5,293,51.5218919,-0.1197139,1eabd7ac8e781befd03f52ef56a18aa7
YRA2VnhFLChIh1ZD31cXjg,The British Museum,1087,"[{'alias': 'museums', 'title': 'Museums'}]",4.5,484,51.518298,-0.126026,23efb32f80a9dcd0e4f61fb44b353ce1
